MW,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,HeavyAtoms,FractionCSP3,MolarRefractivity,HOMO_eV,LUMO_eV,HOMO_LUMO_Gap_eV,Chemical_Hardness,Chemical_Softness,Chemical_Potential,Electrophilicity_Index,Avg_Electronegativity,Polarizability,Lipinski_Violations,Lipinski_OK,Veber_OK,Log_Kp_Skin,Skin_Permeability_cm_s,Log_S_Aqueous,Aqueous_Solubility_mM,Follicular_Penetration_Score,Metabolic_Stability_Score,Binding_Score,Estimated_IC50_nM,IC50_Category,Name,Type,Experimental_IC50_nM,Description,Topical_Formulation_Score
457.30500000000006,5.252880000000002,78.91,1,4,4,3,32,0.15,96.46480000000001,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.9643749999999995,38.58592000000001,1,True,True,-1.7600156999999998,0.017377380073666567,-6.067480400000001,0.00085609034677734,77.47119999999998,80,54.0,67.20551273974975,Good,DRR-001 (4-F-7-azaindol),Novel Analog,,Adição de F na posição 4 do azaindol para aumentar interações com Phe66,61.696213552016594
453.3420000000001,5.422200000000003,78.91,1,4,4,3,32,0.19047619047619047,101.24380000000001,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.9196874999999998,40.49752000000001,1,True,True,-1.6156241999999992,0.024231248976099008,-6.149581400000002,0.0007086284754658474,75.77799999999996,80,54.0,67.20551273974975,Good,DRR-002 (5-Me-7-azaindol),Novel Analog,,Grupo metila na posição 5 para melhor estabilidade metabólica,61.25079427131987
463.345,4.630380000000003,85.21000000000001,0,7,4,4,33,0.15,102.878,-12.240999999999998,-0.861,11.379999999999997,5.689999999999999,0.08787346221441127,-6.550999999999999,3.7711424428822493,2.913939393939394,41.1512,0,True,True,-2.238834699999998,0.005769860324786819,-5.814363248484851,0.001533333949616438,83.69619999999998,80,44.0,110.80315836233387,Moderate,DRR-005 (Tetrazole bioisostere),Novel Analog,,Tetrazol como bioisóstero do ácido carboxílico - maior estabilidade,60.35405009244246
469.3410000000001,4.606080000000003,99.13999999999999,2,5,5,3,33,0.19047619047619047,102.42960000000001,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.9354545454545455,40.97184000000001,0,True,True,-2.292663299999999,0.005097258984077501,-5.658108236363638,0.002197312182843752,83.93919999999997,80,39.0,142.2740715865136,Moderate,DRR-007 (Hydroxymethyl),Novel Analog,,Grupo -CH2OH para melhorar solubilidade aquosa,59.01439682742656
454.3300000000001,4.695980000000002,104.93,2,5,4,3,32,0.15,100.9192,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.9349999999999996,40.36768000000001,0,True,True,-2.1372671999999997,0.007290088490176169,-5.698188400000001,0.0020036026618872617,82.05419999999997,80,39.0,142.2740715865136,Moderate,DRR-004 (Amino-solubilized),Novel Analog,,Grupo amino para aumentar solubilidade mantendo potência,58.51409039928308
439.31500000000005,5.113780000000003,78.91,1,4,4,3,31,0.15,96.5068,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.931612903225806,38.602720000000005,1,True,True,-1.7490376999999988,0.017822240503934828,-5.879498916129034,0.0013197786054812408,78.86219999999997,80,39.0,142.2740715865136,Moderate,JXL069 (PP405),Known,42.8,"Núcleo 7-azaindol, N1-3,5-bis(CF3)benzil - melhor solubilidade",57.61351679082218
439.31500000000005,5.113780000000003,78.91,1,4,4,3,31,0.15,96.5068,-11.696,-1.0826666666666667,10.613333333333333,5.306666666666667,0.0942211055276382,-6.389333333333333,3.846442881072026,2.931612903225806,38.602720000000005,1,True,True,-1.7490376999999988,0.017822240503934828,-5.879498916129034,0.0013197786054812408,78.86219999999997,80,39.0,142.2740715865136,Moderate,DRR-006 (Imidazopyridine core),Novel Analog,,Núcleo imidazopiridina para perfil ADMET diferenciado,57.61351679082218
469.3410000000001,5.122380000000003,88.13999999999999,1,5,5,3,33,0.19047619047619047,103.0588,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.9354545454545455,41.22352000000001,1,True,True,-1.926090299999999,0.011855222246871282,-5.983377236363639,0.0010390172637896006,78.77619999999996,80,39.0,142.2740715865136,Moderate,DRR-ULTRA,,,,57.54990258956843
469.3410000000001,5.122380000000003,88.13999999999999,1,5,5,3,33,0.19047619047619047,103.0588,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.9354545454545455,41.22352000000001,1,True,True,-1.926090299999999,0.011855222246871282,-5.983377236363639,0.0010390172637896006,78.77619999999996,80,39.0,142.2740715865136,Moderate,DRR-009 (Follicular-optimized),Novel Analog,,Grupo metóxi para LogP ideal (1-3) e penetração folicular,57.54990258956843
453.34200000000004,5.308180000000004,78.91,1,4,5,3,32,0.19047619047619047,101.1088,-11.695999999999998,-1.0826666666666667,10.613333333333332,5.306666666666666,0.09422110552763821,-6.389333333333332,3.846442881072026,2.9196874999999998,40.44352000000001,1,True,True,-1.6965783999999982,0.02011044126372778,-6.011748800000002,0.0009733100326423195,76.91819999999996,80,39.0,142.2740715865136,Moderate,DRR-003 (Extended linker),Novel Analog,,Espaçador -CH2CH2- para melhor acomodação no bolso hidrofóbico,57.07554650489634
